X Scale,Y Scale,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,prac_trials_run1.ran,runID,imgID,stimLabel,imFile,corr,side,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp.rt,fixR1,fix_resp1_1.keys,fix_resp1_1.corr,trial_resp.keys,trial_resp.corr,trial_resp.rt,fix_resp_2.keys,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,trials_run1.ran,fix_resp1_1.rt,fixpR2,fix_respP2_1.keys,prac_trials_run2.thisRepN,prac_trials_run2.thisTrialN,prac_trials_run2.thisN,prac_trials_run2.thisIndex,prac_trials_run2.ran,fix_respP2_1.rt,key_resp_10.keys,key_resp_10.rt,repeats2.thisRepN,repeats2.thisTrialN,repeats2.thisN,repeats2.thisIndex,repeats2.ran,fixR2,fix_resp2_1.keys,fix_resp2_1.corr,trials_run2.thisRepN,trials_run2.thisTrialN,trials_run2.thisN,trials_run2.thisIndex,trials_run2.ran,fix_resp2_1.rt,trials_run3.thisRepN,trials_run3.thisTrialN,trials_run3.thisN,trials_run3.thisIndex,trials_run3.ran,fix_resp_2.rt,trials_run4.thisRepN,trials_run4.thisTrialN,trials_run4.thisN,trials_run4.thisIndex,trials_run4.ran
0.0468,0.0469,j,1,2.278915,0,j,1,1.44996,,1,0,0,0,1,1,1,5,largeScongr,Stimuli/SofS2.jpg,j,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,j,1,1.904165,space,1,0,1,1,3,1,1,6,largeScongr,Stimuli/SofS2.jpg,j,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,0.34755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,f,1,1.33322,,0,0,2,2,5,1,1,4,largeHincon,Stimuli/HofS2.jpg,f,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,j,1,2.40272,,1,0,3,3,2,1,1,7,largeSincon,Stimuli/SofH2.jpg,j,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,j,1,2.5155,,1,0,4,4,4,1,1,8,largeSincon,Stimuli/SofH2.jpg,j,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,f,1,1.5855,,1,0,5,5,0,1,1,2,largeHcongr,Stimuli/HofH2.jpg,f,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,1,largeHcongr,Stimuli/HofH2.jpg,f,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,f,1,1.15334,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,7,largeSincon,Stimuli/SofH2.jpg,j,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,j,1,1.189925,,0,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,6,largeScongr,Stimuli/SofS2.jpg,j,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,j,1,1.315695,,0,2,2,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,4,largeHincon,Stimuli/HofS2.jpg,f,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,f,1,1.54816,,0,3,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,5,largeScongr,Stimuli/SofS2.jpg,j,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,j,1,1.00256,,0,4,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,3,largeHincon,Stimuli/HofS2.jpg,f,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,f,1,0.96674,,0,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,2,largeHcongr,Stimuli/HofH2.jpg,f,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,1,space,1,f,1,1.09971,,0,6,6,4,1,0.900595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,8,largeSincon,Stimuli/SofH2.jpg,j,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,1,space,1,j,1,1.132155,,0,7,7,7,1,1.015885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,4,largeHincon,Stimuli/HofS2.jpg,f,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,1,space,1,f,1,1.79935,,1,0,8,5,1,0.78583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,3,largeHincon,Stimuli/HofS2.jpg,f,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,f,1,3.081985,,1,1,9,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,2,largeHcongr,Stimuli/HofH2.jpg,f,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,f,1,1.31627,,1,2,10,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,1,largeHcongr,Stimuli/HofH2.jpg,f,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,1,space,1,f,1,1.188475,,1,3,11,0,1,0.749675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,6,largeScongr,Stimuli/SofS2.jpg,j,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,1,,0,j,1,0.82289,,1,4,12,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,8,largeSincon,Stimuli/SofH2.jpg,j,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,1,space,1,j,1,1.300595,,1,5,13,7,1,0.550865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,7,largeSincon,Stimuli/SofH2.jpg,j,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,j,1,0.832225,,1,6,14,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,5,largeScongr,Stimuli/SofS2.jpg,j,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,j,1,0.8147,,1,7,15,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,6,largeScongr,Stimuli/SofS2.jpg,j,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,1,space,1,j,1,0.739635,,2,0,16,6,1,0.73247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,4,largeHincon,Stimuli/HofS2.jpg,f,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,f,1,1.66556,,2,1,17,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,5,largeScongr,Stimuli/SofS2.jpg,j,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,j,1,0.834145,,2,2,18,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,3,largeHincon,Stimuli/HofS2.jpg,f,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,f,1,1.3985,,2,3,19,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,7,largeSincon,Stimuli/SofH2.jpg,j,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,j,1,0.98531,,2,4,20,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,1,largeHcongr,Stimuli/HofH2.jpg,f,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,f,1,1.66564,,2,5,21,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,2,largeHcongr,Stimuli/HofH2.jpg,f,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,f,1,1.03255,,2,6,22,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,8,largeSincon,Stimuli/SofH2.jpg,j,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,j,1,0.94812,,2,7,23,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,3,largeHincon,Stimuli/HofS2.jpg,f,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,f,1,0.94782,,3,0,24,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,4,largeHincon,Stimuli/HofS2.jpg,f,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,1,space,1,f,1,0.89727,,3,1,25,5,1,0.58564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,1,largeHcongr,Stimuli/HofH2.jpg,f,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,f,1,0.80141,,3,2,26,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,8,largeSincon,Stimuli/SofH2.jpg,j,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,j,1,1.1679,,3,3,27,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,7,largeSincon,Stimuli/SofH2.jpg,j,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,1,space,1,j,1,1.017055,,3,4,28,3,1,0.80596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,6,largeScongr,Stimuli/SofS2.jpg,j,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,j,1,1.07179,,3,5,29,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,5,largeScongr,Stimuli/SofS2.jpg,j,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,j,1,0.90492,,3,6,30,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,2,largeHcongr,Stimuli/HofH2.jpg,f,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,f,1,1.100495,,3,7,31,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,5,largeScongr,Stimuli/SofS2.jpg,j,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,j,1,0.7498,,4,0,32,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,8,largeSincon,Stimuli/SofH2.jpg,j,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,j,1,0.748895,,4,1,33,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,4,largeHincon,Stimuli/HofS2.jpg,f,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,f,1,2.25204,,4,2,34,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,2,largeHcongr,Stimuli/HofH2.jpg,f,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,f,1,0.815575,,4,3,35,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,1,largeHcongr,Stimuli/HofH2.jpg,f,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,f,1,0.800285,,4,4,36,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,3,largeHincon,Stimuli/HofS2.jpg,f,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,f,1,1.3321,,4,5,37,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,7,largeSincon,Stimuli/SofH2.jpg,j,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,j,1,2.35344,,4,6,38,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,6,largeScongr,Stimuli/SofS2.jpg,j,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,j,1,1.88141,,4,7,39,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,3,largeHincon,Stimuli/HofS2.jpg,f,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,f,1,1.222315,,5,0,40,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,2,largeHcongr,Stimuli/HofH2.jpg,f,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,1,space,1,f,1,0.987185,,5,1,41,4,1,0.68668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,1,largeHcongr,Stimuli/HofH2.jpg,f,left,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,f,1,1.15144,,5,2,42,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,6,largeScongr,Stimuli/SofS2.jpg,j,right,HR,2,2,2021-01-11_14h54.31.898,global_local,2020.2.4,MacIntel,60,1792,1120,,0,,1,j,1,1.006145,,5,3,43,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
