runID,imgID,stimLabel,imFile,corr,side,repeats.thisRepN,repeats.thisTrialN,repeats.thisN,repeats.thisIndex,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,X Scale,Y Scale,text_8.started,text_8.stopped,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_fix_resp.keys,prac_fix_resp.corr,feedback_msg.started,feedback_msg.stopped,prac_resp.rt,prac_fix_resp.rt,image_4.started,image_4.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,0.05,0.05,42.82670969283208,None,j,1,0.9864275516010821,,,,,,,,,,,,,1,2,2020_Dec_21_1554,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,0,0,0,0,0,0,0,4,,,,,,,,0,None,0,None,1,51.84549028798938,None,,,,,,1,2,2020_Dec_21_1554,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,0,0,0,0,0,1,1,2,,,,,,,,1,j,1,space,1,59.193651551846415,None,3.1455934839323163,0.558599938172847,,,,1,2,2020_Dec_21_1554,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,0,0,0,0,0,2,2,5,,,,,,,,0,j,0,None,1,66.67639722209424,None,1.4726122128777206,,,,,1,2,2020_Dec_21_1554,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,0,0,0,0,0,3,3,0,,,,,,,,1,j,1,None,0,74.39350833091885,None,1.0176290119998157,,,,,1,2,2020_Dec_21_1554,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,0,0,0,0,0,4,4,1,,,,,,,,0,None,0,space,0,81.95976691506803,None,,2.3384491852484643,,,,1,2,2020_Dec_21_1554,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,0,0,0,0,0,5,5,3,,,,,,,,0,j,1,None,1,89.59363654395565,None,1.5320462272502482,,,,,1,2,2020_Dec_21_1554,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.jpg,j,left,1,0,1,0,0,0,0,0,,,,,,,,0,None,0,None,1,100.57662885077298,None,,,,,,1,2,2020_Dec_21_1554,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,1,0,1,0,0,1,1,2,,,,,,,,1,j,1,space,1,107.94322422007099,None,1.8319358630105853,1.1829702290706336,,,,1,2,2020_Dec_21_1554,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.jpg,f,left,1,0,1,0,0,2,2,1,,,,,,,,0,f,1,None,1,115.3774434691295,None,1.5423760889098048,,,,,1,2,2020_Dec_21_1554,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,1,0,1,0,0,3,3,3,,,,,,,,1,f,1,space,1,122.81081655807793,None,1.0568558550439775,0.8908037510700524,,,,1,2,2020_Dec_21_1554,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,1,0,1,0,0,4,4,5,,,,,,,,0,j,1,space,0,130.40996366692707,None,1.1400109510868788,0.8594531849958003,,,,1,2,2020_Dec_21_1554,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,1,0,1,0,0,5,5,4,,,,,,,,0,f,1,None,1,137.7607292290777,None,1.6205439688637853,,,,,1,2,2020_Dec_21_1554,global_local,2020.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.51100718183443,None,,,,,,,,
