runID,imgID,stimLabel,imFile,corr,side,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,X Scale,Y Scale,fixpR1,fix_respP1_1.keys,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp_2.keys,fixR1,text_2.started,text_2.stopped,fix_resp1_1.keys,fix_resp1_1.started,fix_resp1_1.stopped,text_6.started,text_6.stopped,trial_image.started,trial_image.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,fix_resp_2.keys,fix_resp_2.started,fix_resp_2.stopped,fix_resp1_1.rt,fix_resp_2.rt,participant,design,position,date,expName,psychopyVersion,frameRate,
1,7,smallSincon,Stimuli/HofS2.bmp,j,left,0,0,0,0,,,,,0.05,0.05,1,None,j,1,0.7447290169657208,None,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Oct_25_1404,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.bmp,f,left,0,1,1,1,,,,,,,0,None,f,1,0.7285408480092883,None,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Oct_25_1404,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.bmp,f,left,,,,,0,0,0,1,,,,,,,,,0,58.84572761901654,None,None,58.84572761901654,None,60.196083521004766,None,60.196083521004766,None,j,0,1.184552512015216,60.196083521004766,None,None,60.196083521004766,None,,,,1,1,2020_Oct_25_1404,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.bmp,f,left,,,,,0,1,1,0,,,,,,,,,1,61.41271367203444,None,space,61.41271367203444,None,62.87936165003339,None,62.87936165003339,None,f,1,2.374995369988028,62.87936165003339,None,space,62.87936165003339,None,1.2198978119995445,1.0523300070199184,,1,1,2020_Oct_25_1404,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.bmp,f,left,,,,,0,2,2,1,,,,,,,,,0,65.27941786905285,None,None,65.27941786905285,None,66.99610610702075,None,66.99610610702075,None,f,1,0.6400937980506569,66.99610610702075,None,None,66.99610610702075,None,,,,1,1,2020_Oct_25_1404,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.bmp,j,left,,,,,0,3,3,2,,,,,,,,,0,67.66283609601669,None,None,67.66283609601669,None,68.91276578203542,None,68.91276578203542,None,j,1,0.5666765219648369,68.91276578203542,None,None,68.91276578203542,None,,,,1,1,2020_Oct_25_1404,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.bmp,j,left,,,,,1,0,4,2,,,,,,,,,0,69.49619897303637,None,None,69.49619897303637,None,70.8458631450194,None,70.8458631450194,None,j,1,0.3950771630043164,70.8458631450194,None,None,70.8458631450194,None,,,,1,1,2020_Oct_25_1404,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.bmp,f,left,,,,,1,1,5,0,,,,,,,,,0,71.26247943105409,None,None,71.26247943105409,None,72.89576112903887,None,72.89576112903887,None,f,1,0.8079365629819222,72.89576112903887,None,None,72.89576112903887,None,,,,1,1,2020_Oct_25_1404,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.bmp,f,left,,,,,1,2,6,0,,,,,,,,,0,73.72918384004151,None,None,73.72918384004151,None,75.07920130999992,None,75.07920130999992,None,f,1,0.5019308120245114,75.07920130999992,None,None,75.07920130999992,None,,,,1,1,2020_Oct_25_1404,global_local,2020.2.4,None,
1,1,smallHcongr,Stimuli/HofH2.bmp,f,left,,,,,1,3,7,0,,,,,,,,,0,75.61285880900687,None,None,75.61285880900687,None,77.3128981370246,None,77.3128981370246,None,f,1,0.6331090900348499,77.3128981370246,None,None,77.3128981370246,None,,,,1,1,2020_Oct_25_1404,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.bmp,j,left,,,,,2,0,8,2,,,,,,,,,0,77.96295690804254,None,None,77.96295690804254,None,79.39614957303274,None,79.39614957303274,None,f,0,0.3878811910399236,79.39614957303274,None,None,79.39614957303274,None,,,,1,1,2020_Oct_25_1404,global_local,2020.2.4,None,
1,7,smallSincon,Stimuli/HofS2.bmp,j,left,,,,,2,1,9,3,,,,,,,,,0,79.81289584201295,None,None,79.81289584201295,None,81.44611747405725,None,81.44611747405725,None,f,0,0.36284910899121314,81.44611747405725,None,None,81.44611747405725,None,,,,1,1,2020_Oct_25_1404,global_local,2020.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
