runID,imgID,stimLabel,imFile,corr,side,repeats.thisRepN,repeats.thisTrialN,repeats.thisN,repeats.thisIndex,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,repeats2.thisRepN,repeats2.thisTrialN,repeats2.thisN,repeats2.thisIndex,prac_trials_run2.thisRepN,prac_trials_run2.thisTrialN,prac_trials_run2.thisN,prac_trials_run2.thisIndex,X Scale,Y Scale,text_8.started,text_8.stopped,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.rt,feedback_msg.started,feedback_msg.stopped,fixR1,text_2.started,text_2.stopped,fix_resp1_1.keys,fix_resp1_1.corr,fix_resp1_1.started,fix_resp1_1.stopped,text_6.started,text_6.stopped,trial_image.started,trial_image.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,fix_resp_2.keys,fix_resp_2.started,fix_resp_2.stopped,fix_resp1_1.rt,fixpR2,participant,design,position,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,54.82130577299995,None,j,1,0.7999582749998808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,3,smallHincon,Stimuli/SofH2.jpg,f,left,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,0,j,0,3.9155025360000764,space,0,2.583749414000067,63.47154023300004,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,5,smallScongr,Stimuli/SofS2.jpg,j,left,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,1,j,1,1.4966340229998423,space,1,0.9444523319998552,70.73792970499994,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,1,j,1,2.249269416000061,space,1,2.5763461870001265,78.18829412900004,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,2,smallHcongr,Stimuli/HofH2.jpg,f,right,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,,,,,,0,f,1,1.1558895760001633,None,1,,85.72136032399999,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,0,0,0,0,0,4,4,5,,,,,,,,,,,,,,,,,,,,0,f,1,1.824814700999923,None,1,,93.47173240899997,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,0,0,0,0,0,5,5,3,,,,,,,,,,,,,,,,,,,,0,j,1,3.4472890389999975,None,1,,100.75501582700008,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,8,smallSincon,Stimuli/HofS2.jpg,j,right,,,,,,,,,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,0,105.12134027900015,None,None,1,105.12134027900015,None,106.38854363200016,None,106.38854363200016,None,j,1,1.6420369229999778,106.38854363200016,None,None,106.38854363200016,None,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,6,smallScongr,Stimuli/SofS2.jpg,j,right,,,,,,,,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,0,108.05494779500009,None,None,1,108.05494779500009,None,109.67190263099997,None,109.67190263099997,None,j,1,0.3390933489999952,109.67190263099997,None,None,109.67190263099997,None,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
1,4,smallHincon,Stimuli/SofH2.jpg,f,right,,,,,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,0,110.03822977300001,None,None,1,110.03822977300001,None,111.4718978620001,None,111.4718978620001,None,j,0,0.24903044400002727,111.4718978620001,None,None,111.4718978620001,None,,,,1,2,2021_Jan_13_1342,global_local,2020.2.4,None,
